id,title,slug,price,description,category,images,creationAt,updatedAt
26,Sleek Mirror Finish Phone Case,sleek-mirror-finish-phone-case,27,"Enhance your smartphone's look with this ultra-sleek mirror finish phone case. Designed to offer style with protection, the case features a reflective surface that adds a touch of elegance while keeping your device safe from scratches and impacts. Perfect for those who love a minimalist and modern aesthetic.",Electronics,https://i.imgur.com/yb9UQKL.jpeg,2025-03-20,2025-03-20
27,Sleek Smartwatch with Vibrant Display,sleek-smartwatch-with-vibrant-display,16,"Experience modern timekeeping with our high-tech smartwatch, featuring a vivid touch screen display, customizable watch faces, and a comfortable blue silicone strap. This smartwatch keeps you connected with notifications and fitness tracking while showcasing exceptional style and versatility.",Electronics,https://i.imgur.com/LGk9Jn2.jpeg,2025-03-20,2025-03-20
28,Sleek Modern Leather Sofa,sleek-modern-leather-sofa,53,"Enhance the elegance of your living space with our Sleek Modern Leather Sofa. Designed with a minimalist aesthetic, it features clean lines and a luxurious leather finish. The robust metal legs provide stability and support, while the plush cushions ensure comfort. Perfect for contemporary homes or office waiting areas, this sofa is a statement piece that combines style with practicality.",Furniture,https://i.imgur.com/Qphac99.jpeg,2025-03-20,2025-03-20
29,Mid-Century Modern Wooden Dining Table,mid-century-modern-wooden-dining-table,24,"Elevate your dining room with this sleek Mid-Century Modern dining table, featuring an elegant walnut finish and tapered legs for a timeless aesthetic. Its sturdy wood construction and minimalist design make it a versatile piece that fits with a variety of decor styles. Perfect for intimate dinners or as a stylish spot for your morning coffee.",Furniture,https://i.imgur.com/DMQHGA0.jpeg,2025-03-20,2025-03-20
30,Elegant Golden-Base Stone Top Dining Table,elegant-golden-base-stone-top-dining-table,66,"Elevate your dining space with this luxurious table, featuring a sturdy golden metal base with an intricate rod design that provides both stability and chic elegance. The smooth stone top in a sleek round shape offers a robust surface for your dining pleasure. Perfect for both everyday meals and special occasions, this table easily complements any modern or glam decor.",Furniture,https://i.imgur.com/NWIJKUj.jpeg,2025-03-20,2025-03-20
31,Modern Elegance Teal Armchair,modern-elegance-teal-armchair,25,"Elevate your living space with this beautifully crafted armchair, featuring a sleek wooden frame that complements its vibrant teal upholstery. Ideal for adding a pop of color and contemporary style to any room, this chair provides both superb comfort and sophisticated design. Perfect for reading, relaxing, or creating a cozy conversation nook.",Furniture,https://i.imgur.com/6wkyyIN.jpeg,2025-03-20,2025-03-20
32,Elegant Solid Wood Dining Table,elegant-solid-wood-dining-table,67,"Enhance your dining space with this sleek, contemporary dining table, crafted from high-quality solid wood with a warm finish. Its sturdy construction and minimalist design make it a perfect addition for any home looking for a touch of elegance. Accommodates up to six guests comfortably and includes a striking fruit bowl centerpiece. The overhead lighting is not included.",Furniture,https://i.imgur.com/4lTaHfF.jpeg,2025-03-20,2025-03-20
33,Modern Minimalist Workstation Setup,modern-minimalist-workstation-setup,49,"Elevate your home office with our Modern Minimalist Workstation Setup, featuring a sleek wooden desk topped with an elegant computer, stylish adjustable wooden desk lamp, and complimentary accessories for a clean, productive workspace. This setup is perfect for professionals seeking a contemporary look that combines functionality with design.",Furniture,https://i.imgur.com/3oXNBst.jpeg,2025-03-20,2025-03-20
34,Modern Ergonomic Office Chair,modern-ergonomic-office-chair,71,"Elevate your office space with this sleek and comfortable Modern Ergonomic Office Chair. Designed to provide optimal support throughout the workday, it features an adjustable height mechanism, smooth-rolling casters for easy mobility, and a cushioned seat for extended comfort. The clean lines and minimalist white design make it a versatile addition to any contemporary workspace.",Furniture,https://i.imgur.com/3dU0m72.jpeg,2025-03-20,2025-03-20
35,Futuristic Holographic Soccer Cleats,futuristic-holographic-soccer-cleats,39,"Step onto the field and stand out from the crowd with these eye-catching holographic soccer cleats. Designed for the modern player, these cleats feature a sleek silhouette, lightweight construction for maximum agility, and durable studs for optimal traction. The shimmering holographic finish reflects a rainbow of colors as you move, ensuring that you'll be noticed for both your skills and style. Perfect for the fashion-forward athlete who wants to make a statement.",Shoes,https://i.imgur.com/qNOjJje.jpeg,2025-03-20,2025-03-20
36,Rainbow Glitter High Heels,rainbow-glitter-high-heels,39,"Step into the spotlight with these eye-catching rainbow glitter high heels. Designed to dazzle, each shoe boasts a kaleidoscope of shimmering colors that catch and reflect light with every step. Perfect for special occasions or a night out, these stunners are sure to turn heads and elevate any ensemble.",Shoes,https://i.imgur.com/62gGzeF.jpeg,2025-03-20,2025-03-20
37,Chic Summer Denim Espadrille Sandals,chic-summer-denim-espadrille-sandals,33,"Step into summer with style in our denim espadrille sandals. Featuring a braided jute sole for a classic touch and adjustable denim straps for a snug fit, these sandals offer both comfort and a fashionable edge. The easy slip-on design ensures convenience for beach days or casual outings.",Shoes,https://i.imgur.com/9qrmE1b.jpeg,2025-03-20,2025-03-20
38,Vibrant Runners: Bold Orange & Blue Sneakers,vibrant-runners-bold-orange-blue-sneakers,27,"Step into style with these eye-catching sneakers featuring a striking combination of orange and blue hues. Designed for both comfort and fashion, these shoes come with flexible soles and cushioned insoles, perfect for active individuals who don't compromise on style. The reflective silver accents add a touch of modernity, making them a standout accessory for your workout or casual wear.",Shoes,https://i.imgur.com/hKcMNJs.jpeg,2025-03-20,2025-03-20
39,Vibrant Pink Classic Sneakers,vibrant-pink-classic-sneakers,84,"Step into style with our Vibrant Pink Classic Sneakers! These eye-catching shoes feature a bold pink hue with iconic white detailing, offering a sleek, timeless design. Constructed with durable materials and a comfortable fit, they are perfect for those seeking a pop of color in their everyday footwear. Grab a pair today and add some vibrancy to your step!",Shoes,https://i.imgur.com/mcW42Gi.jpeg,2025-03-20,2025-03-20
40,Futuristic Silver and Gold High-Top Sneaker,futuristic-silver-and-gold-high-top-sneaker,68,"Step into the future with this eye-catching high-top sneaker, designed for those who dare to stand out. The sneaker features a sleek silver body with striking gold accents, offering a modern twist on classic footwear. Its high-top design provides support and style, making it the perfect addition to any avant-garde fashion collection. Grab a pair today and elevate your shoe game!",Shoes,https://i.imgur.com/npLfCGq.jpeg,2025-03-20,2025-03-20
41,Futuristic Chic High-Heel Boots,futuristic-chic-high-heel-boots,36,"Elevate your style with our cutting-edge high-heel boots that blend bold design with avant-garde aesthetics. These boots feature a unique color-block heel, a sleek silhouette, and a versatile light grey finish that pairs easily with any cutting-edge outfit. Crafted for the fashion-forward individual, these boots are sure to make a statement.",Shoes,https://i.imgur.com/HqYqLnW.jpeg,2025-03-20,2025-03-20
42,Elegant Patent Leather Peep-Toe Pumps with Gold-Tone Heel,elegant-patent-leather-peep-toe-pumps,53,"Step into sophistication with these chic peep-toe pumps, showcasing a lustrous patent leather finish and an eye-catching gold-tone block heel. The ornate buckle detail adds a touch of glamour, perfect for elevating your evening attire or complementing a polished daytime look.",Shoes,https://i.imgur.com/AzAY4Ed.jpeg,2025-03-20,2025-03-20
43,Elegant Purple Leather Loafers,elegant-purple-leather-loafers,17,"Step into sophistication with our Elegant Purple Leather Loafers, perfect for making a bold statement. Crafted from high-quality leather with a vibrant purple finish, these shoes feature a classic loafer silhouette that's been updated with a contemporary twist. The comfortable slip-on design and durable soles ensure both style and functionality for the modern man.",Shoes,https://i.imgur.com/Au8J9sX.jpeg,2025-03-20,2025-03-20
44,Classic Blue Suede Casual Shoes,classic-blue-suede-casual-shoes,39,"Step into comfort with our Classic Blue Suede Casual Shoes, perfect for everyday wear. These shoes feature a stylish blue suede upper, durable rubber soles for superior traction, and classic lace-up fronts for a snug fit. The sleek design pairs well with both jeans and chinos, making them a versatile addition to any wardrobe.",Shoes,https://i.imgur.com/sC0ztOB.jpeg,2025-03-20,2025-03-20
45,Sleek Futuristic Electric Bicycle,sleek-futuristic-electric-bicycle,22,"This modern electric bicycle combines style and efficiency with its unique design and top-notch performance features. Equipped with a durable frame, enhanced battery life, and integrated tech capabilities, it's perfect for the eco-conscious commuter looking to navigate the city with ease.",Miscellaneous,https://i.imgur.com/BG8J0Fj.jpg,2025-03-20,2025-03-20
46,Sleek All-Terrain Go-Kart,sleek-all-terrain-go-kart,37,"Experience the thrill of outdoor adventures with our Sleek All-Terrain Go-Kart, featuring a durable frame, comfortable racing seat, and robust, large-tread tires perfect for handling a variety of terrains. Designed for fun-seekers of all ages, this go-kart is an ideal choice for backyard racing or exploring local trails.",Miscellaneous,https://i.imgur.com/Ex5x3IU.jpg,2025-03-20,2025-03-20
47,Radiant Citrus Eau de Parfum,radiant-citrus-eau-de-parfum,73,"Indulge in the essence of summer with this vibrant citrus-scented Eau de Parfum. Encased in a sleek glass bottle with a bold orange cap, this fragrance embodies freshness and elegance. Perfect for daily wear, it's an olfactory delight that leaves a lasting, zesty impression.",Miscellaneous,https://i.imgur.com/xPDwUb3.jpg,2025-03-20,2025-03-20
48,Sleek Olive Green Hardshell Carry-On Luggage,sleek-olive-green-hardshell-carry-on-luggage,48,"Travel in style with our durable hardshell carry-on, perfect for weekend getaways and business trips. This sleek olive green suitcase features smooth gliding wheels for easy airport navigation, a sturdy telescopic handle, and a secure zippered compartment to keep your belongings safe. Its compact size meets most airline overhead bin requirements, ensuring a hassle-free flying experience.",Miscellaneous,https://i.imgur.com/jVfoZnP.jpg,2025-03-20,2025-03-20
49,Chic Transparent Fashion Handbag,chic-transparent-fashion-handbag,61,"Elevate your style with our Chic Transparent Fashion Handbag, perfect for showcasing your essentials with a clear, modern edge. This trendy accessory features durable acrylic construction, luxe gold-tone hardware, and an elegant chain strap. Its compact size ensures you can carry your day-to-day items with ease and sophistication.",Miscellaneous,https://i.imgur.com/Lqaqz59.jpg,2025-03-20,2025-03-20
50,Trendy Pink-Tinted Sunglasses,trendy-pink-tinted-sunglasses,38,"Step up your style game with these fashionable black-framed, pink-tinted sunglasses. Perfect for making a statement while protecting your eyes from the glare. Their bold color and contemporary design make these shades a must-have accessory for any trendsetter looking to add a pop of color to their ensemble.",Miscellaneous,https://i.imgur.com/0qQBkxX.jpg,2025-03-20,2025-03-20
51,Elegant Glass Tumbler Set,elegant-glass-tumbler-set,50,"Enhance your drinkware collection with our sophisticated set of glass tumblers, perfect for serving your favorite beverages. This versatile set includes both clear and subtly tinted glasses, lending a modern touch to any table setting. Crafted with quality materials, these durable tumblers are designed to withstand daily use while maintaining their elegant appeal.",Miscellaneous,https://i.imgur.com/TF0pXdL.jpg,2025-03-20,2025-03-20
52,F,f,123,F,Electronics,https://www.imghippo.com/i/Hvr2336R.webp,2025-03-20,2025-03-20
53,New Cotton Shirt,new-cotton-shirt,1100,Very nice and attractive,Clothes,https://placeimg.com/640/480/cotton,2025-03-20,2025-03-20
54,Mobile Phones,mobile-phones,10,A description,Clothes,https://placeimg.com/640/480/any,2025-03-20,2025-03-20
